property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
2 Bhk Apartment For Sale In Dindoli Surat,Carpet Area,644 sqft,New Property,Poss. By Oct '24,5 Out Of 10,Unfurnished,West,"Luxury Project With Basement Parking, Solar Rooftop, Gym, Build With Advanced Machinery And Standard Materials That Last Long. Best Project For Under Construction Scheme For A Happy Family Life.Read More",2891.0,₹33.8 Lac 
2 Bhk Apartment For Sale In Althan Surat,Super Area,1278 sqft,New Property,Poss. By Jan '26,6 Out Of 14,Unfurnished,South -West,2 And 3 Bhk Luxurious Flat For Sell In New Althan Area With All Aminities .Read More,3551.0,₹45.4 Lac 
2 Bhk Apartment For Sale In Pal Gam Surat,Super Area,1173 sqft,Resale,Ready To Move,5 Out Of 13,Semi-Furnished,East,"This Affordable 2 Bhk Flat Is Situated Along A 200Foot Road, Ensuring Easy Access And Connectivity. Enjoy The Convenience Of A Prime Location At A Budgetfriendly Price. Additionally, It Is Ready To Move In, Offering Immediate Occupancy For Your Convenience. With A Towering 19Floor Height, It Provides Impressive Views And A Sense Of Elevation.Read More",3800.0,₹44.6 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,700 sqft,New Property,Ready To Move,6 Out Of 14,Unfurnished,East,2 Bhk Flat For Sell In Jahangirabad Prime Location,3966.0,₹47 Lac 
"2 Bhk Apartment For Sale In Orchid Fantasia, Palanpur Surat",Super Area,1250 sqft,Orchid Fantasia,New Property,Unfurnished,2,2,"Multistorey Apartment For Sale In Palanpur, Surat. Covered Area Is 1250.0  Sq-Ft. This Property Belongs To ""Orchid Fantasia"" .Read More",3600.0,₹45 Lac 
"2 Bhk Apartment For Sale In Anand Aspire, Jahangirabad Surat",Super Area,1265 sqft,Unfurnished,Poss. By Dec '25,New Property,Anand Aspire,2,"Multistorey Apartment For Sale In Jahangirabad, Surat. Covered Area Is 1265.0  Sq-Ft. This Property Belongs To ""Anand Aspire"" .Read More",3411.0,₹43.2 Lac 
3 Bhk Villa For Sale In Dindoli Surat,Carpet Area,1404 sqft,Unfurnished,Poss. By Jun '24,New Property,East,Main Road,Contraction,4697.5,₹42.1 Lac 
Office Space For Sale In Vesu Surat,Carpet Area,700 sqft,New Property,Poss. By Sep '25,7 Out Of 10,1,Unknown,"Best Commercial For Business ,Investors ,Businesses Man",3392.0,₹44.1 Lac 
"2 Bhk Apartment For Sale In Orchid Gardenia, Palanpur Surat",Super Area,1180 sqft,Orchid Gardenia,New Property,Unfurnished,2,2,"Multistorey Apartment For Sale In Palanpur, Surat. Covered Area Is 1180.0  Sq-Ft. This Property Belongs To ""Orchid Gardenia"" .Read More",3751.0,₹44.3 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,720 sqft,New Property,Poss. By Dec '25,3 Out Of 14,Unfurnished,East,"Irrespective Of The Business Branch, The Our Group Believes In, And Follows A Singular Philosophicalread More",3200.0,₹40 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,748 sqft,New Property,Poss. By Dec '25,6 Out Of 13,Unfurnished,East,Next To Canezaa Theater Near New D Mart Location A Very Anchor Location And Full Of Amenities With Very Simple Payment Conditionsread More,3235.0,₹44 Lac 
1 Bhk  House For Sale In Kim Surat,Carpet Area,480 sqft,Resale,Ready To Move,1 Out Of 1,Unfurnished,East,"1 Bhk, Residential House Is Available For Sale In Kim, Surat For 12.50 Lac(S)Read More",2315.0,₹12.5 Lac 
2 Bhk Apartment For Sale In Navyug College Surat,Carpet Area,1650 sqft,Resale,Ready To Move,7 Out Of 10,Unfurnished,East,"Presenting An Exceptional 2 Bhk Flat For Sale, Strategically Located Near Navyug College On Rander Road, Surat. This Residence Combines Modern Living With Convenience, Offering A Perfect Blend Of Comfort And Accessibility.   Property Specifications   Discover A Spacious Haven With A Carpet Area Of 1650 Sqft On The 7Th Floor Of A 10-Story Building. The Flat Is Unfurnished, Allowing You The Freedom To Customize Your Living Space According To Your Style And Preferences.   The 2-Bedroom Layout Includes 2 Western-Style Bathrooms, With One Attached To The Master Bedroom And Another Serving As A Common Facility. Enjoy The Luxury Of An Attached Balcony Overlooking The Main Road, Seamlessly Connected To The Hall. The Residence Features A Separate Living And Dining Area, Ensuring Privacy And Functional Space. Additionally, A Convenient Store Room Adds To The Practicality Of The Home.   The Kitchen Is Designed For Efficiency, Equipped With A Normal Layout, Platform, And Sink. A Piped Gas Connection Is Available For Your Cooking Convenience, And A Utility Area Is Attached To The Kitchen. The Entire Space Is Adorned With Ceramic Tiles, Providing A Contemporary And Easy-To-Maintain Flooring Solution. The Property Is Vaastu Compliant, And Its East-Facing Orientation Brings In Ample Natural Light.   Facilities   Experience The Ease Of Living With Covered Parking For Your Vehicle. Enjoy Uninterrupted Living With 24-Hour Water Supply Sourced From The Corporation. The Property Comes With 100 Power Backup, Ensuring You Never Face Disruptions. Your Security Is Our Priority, With A Dedicated Security Guard And Cctv Surveillance. The Building Is Equipped With 2 Elevators For Swift And Convenient Access To Your Residence.   Locality   Situated Near The Vijay Sales Showroom, This Property Is Surrounded By Educational Institutions And Healthcare Facilities Within A 1 To 2 Km Radius. Malls And Supermarkets Are Also Conveniently Located, Offering A Range Of Shopping And Entertainment Options. Banks And Atms In Close Proximity Add To The Convenience Of Daily Life. For Those Relying On Public Transport, The Property Is Well-Connected. The Railway Station Is 8 To 9 Km Away, Providing Easy Access For Commuters.Read More",3125.0,₹50 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Super Area,847 sqft,Resale,Ready To Move,1 Out Of 13,Furnished,East,"2 Bhk, Multistorey Apartment Is Available For Sale In Adajan, Surat For 50.0 Lac(S)Read More",5903.0,₹50 Lac 
3 Bhk Apartment For Sale In Dindoli Surat,Super Area,1511 sqft,New Property,Poss. By Feb '26,5 Out Of 13,Unfurnished,North - East,120 Ft Main Road Touch  Corner Project Only 3 Bhk Flats Aminitiesbanquet Halltemplegardengymnasiumchildren Play Areagajebo Sittingjogging Trackbasement Parkingread More,2368.0,₹35.8 Lac 
2 Bhk Apartment For Sale In Bhatar Road Surat,Carpet Area,850 sqft,Resale,Ready To Move,4 Out Of 7,Furnished,South - East,"Good News For Those Planning To Own A Flat In Surat!! Introducing A Well-Maintained 2 Bhk Apartment Now Available For Sale On Bhatar Road, Surat. Boasting Essential Services Within A Short Range, This Property Is Definitely The Right Choice To Lead A Hassle-Free Life With The Family. Then, Why Wait, Book This Property Today!!Property Specificationsthoughtfully Designed, This 2 Bhk Flat Spanning Across A Carpet Area Of 850 Sqft Is Levelled On The 4Th Floor Of A 7-Storey Building. Furnished With Wardrobes, Beds, Ac, Lights, And Fans, This Residence Offers A Seamless Blend Of Convenience And Elegance. Being Vaastu Compliant Is Another Highlight Of This Property And The Flat Faces The Southeast Direction.Moving To The Layout, The Flat Consists Of Two Bedrooms And 2 Western-Style Bathrooms ( 1 Attached, 1 Common) Equipped With Geysers. A Balcony Attached To One Bedroom Provides A Charming View Of The Road. Further, The Living-Cum-Dining Area, Store Room, And Modular Kitchen With A Piped Gas Connection Showcase Thoughtful Design.That Is Not All, There Is A Utility Area With The Kitchen For Added Convenience And The Flooring Throughout The Flat Is Adorned With Marble.Facilitiesthis Property Benefits From Facilities Such As 2 Open Parking Spaces, 24-Hour Water Supply From Both Borewell And Corporation Sources, 100% Power Backup, Tight Security, Cctv Surveillance, And A Lift.Localitylocated Near Uma Bhavan, This Property Is Within 1 Km Of Schools, Hospitals, And Malls/Supermarkets, Ensuring Proximity To Essential Amenities. Public Transport Options, Including Buses And Autos, Are Easily Accessible While The Railway Station Is  Just 7Km Away And A Metro Station Is At A Convenient 100M Distance.Read More",4697.5,₹45 Lac 
Shop For Sale In Moti Begumwadi Surat,Carpet Area,180 sqft,Resale,Ready To Move,3 Out Of 3,Unknown,Unknown,"4056,Hari Om Textile Market, Ring Road, Near Rohit Ac Market",14728.0,₹26.5 Lac 
Office Space For Sale In Nanpura Surat,Super Area,800 sqft,Resale,Ready To Move,2 Out Of 6,1,Unknown,"Property Is Suitable For Lawyers, Chartered Accountants And Other Back Office Work.Read More",5250.0,₹42 Lac 
3 Bhk Apartment For Sale In Mota Varachha Surat,Carpet Area,1000 sqft,New Property,Ready To Move,3 Out Of 5,Furnished,East,"3Bhk Fully Furnished Flat In Mota Varachha N Well Maintained Fully Furnished With Softa, Fan  Lightsread More",3185.0,₹43 Lac 
1 Bhk Apartment For Sale In Ramnagar Surat,Carpet Area,731 sqft,Resale,Ready To Move,2 Out Of 5,Unfurnished,East,Gated Security,2736.0,₹20 Lac 
Office Space For Sale In Belgium Tower Ring Rode Surat,Carpet Area,816 sqft,Resale,Ready To Move,3 Out Of 12,1,Unknown,Commercial Office Space Is Available For Sale. It Has Carpet Area 816 Sq-Ft. Please Contact For More Details.Read More,4534.0,₹37 Lac 
2 Bhk Builder Floor For Sale In Amroli Surat,Carpet Area,950 sqft,Resale,Ready To Move,5 Out Of 5,Unfurnished,West,Flat For Sale In Amroli Surat. Prime Location. Near By Mansarovar Shopping Center.Read More,2829.0,₹29 Lac 
2 Bhk Apartment For Sale In Palan Pur Patiya Surat,Super Area,1150 sqft,Unfurnished,1 Out Of 7,Resale,1,1,Multistorey Apartment Is Located At The Advantageous 1St Floor In A Tower Of Total 7 Floors. It Is A Relatively New Property With Construction Age Less Than 5 Yrs.Read More,3304.0,₹38 Lac 
1 Bhk  House For Sale In Palsana Surat,Carpet Area,432 sqft,New Property,Ready To Move,Ground Out Of 1,Unfurnished,West,Corner House,3009.0,₹13 Lac 
Shop For Sale In Ghod Dod Road Surat,Carpet Area,350 sqft,Resale,Ready To Move,Lower Basement Out Of 7,Unknown,Unknown,"Commercial Shop Is Available For Sale In Ghod Dod Road, Surat For 45.0 Lac(S)Read More",12857.0,₹45 Lac 
3 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,910 sqft,Resale,Ready To Move,1 Out Of 5,Unfurnished,East,This Is 3 Bhk Fully Furnished Flat With All Furniture And Electronic Appliances.Read More,2857.0,₹40 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,650 sqft,Unfurnished,Ready To Move,New Property,East,Main Road,Luxury Now Affordable 2 Bhk Flat.Two Separate Buildings With Only 100 Flats In Campus.Read More,4150.0,₹46.5 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1250 sqft,New Property,Ready To Move,7 Out Of 14,Unfurnished,South -West,Project On 150 Ft Road.Good Location2 And 3 Bhk Flats Available2 Bhk 1250 Sq Ft3 Bhk 1598 Sq Ftlowest Rate In Arearead More,3325.0,₹41.6 Lac 
3 Bhk Villa For Sale In Masma Village Surat,Carpet Area,1480 sqft,Unfurnished,Poss. By Jul '24,New Property,East,Freehold,Main Road Touch Underconstruction Project.,2264.0,₹33.5 Lac 
2 Bhk Apartment For Sale In Shivalik Height Surat,Super Area,1105 sqft,Resale,Ready To Move,9 Out Of 14,Unfurnished,South -West,"Book Your Budgeted 2Bhk Flat, Single Tower, Alloted Parking, Easy Payment Scheduleread More",3842.0,₹42.5 Lac 
2 Bhk Apartment For Sale In Althan Surat,Super Area,1305 sqft,New Property,Poss. By Dec '26,5 Out Of 12,Unfurnished,East,"He Beautifully Designed Granite Flooring Enhances The Beauty Of The Flat. Moreover, This Property Offers Close Proximity To Important Landmarks Such As Close To Mall, , And Close To School. Many Of The Modern Amenities Being Offered, Like Swimming Pool, Cctv Surveillance, Club House  Community Center, Fitness Centre  Gym, Park, Lifts, Maintenance Staff And Visitor Parking, Will Provide A Pleasant Living Experience For You. This Residential Project Ensures A 247 Water Supply For Its Residents.Read More",3678.0,₹48 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1290 sqft,Resale,Ready To Move,5 Out Of 13,Furnished,East,"2 Bhk, Multistorey Apartment Is Available For Sale In Palanpur, Surat For 45.0 Lac(S)Read More",3488.0,₹45 Lac 
2 Bhk Apartment For Sale In Bamroli Surat,Super Area,975 sqft,New Property,Poss. By Apr '25,6 Out Of 13,Unfurnished,South - East,2 Bhk Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read More,3282.0,₹32 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,1250 sqft,New Property,Ready To Move,7 Out Of 14,Unfurnished,East,2 Bhk Flat For Sell In Jaahngirabad Prime Area With All Aminities.Read More,2800.0,₹35 Lac 
2 Bhk Apartment For Sale In Godadara Surat,Carpet Area,725 sqft,New Property,Poss. By Jan '25,7 Out Of 14,Unfurnished,South -West,2 And 3 Bhk Luxurious Flats At Prime Locations.,3500.0,₹46.2 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,1558 sqft,Resale,Ready To Move,1 Out Of 5,Unfurnished,North - East,"2 Bhk Flat For Rent, It Is A Superb Property And Offers An Excellent View. The Flat Is Semi Furnished With Multiple Amenities And Promises A Comfortable Stay. Indeed, The Society Too Has For Enjoyment, Such As Club Housecommunity Center, And Security Personnel Etc, Other Facilities Include Intercom Facility, Lift  And Park Etc.Read More",3017.0,₹47 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,727 sqft,New Property,Ready To Move,7 Out Of 13,Unfurnished,East,"4 Balconies Per Flat Basement Parking  Indoor Play And Function Area Passage Clubhouse Size Passage       Area Space Per Floorplaning As Per Vastumultipurpose Sports Areagazebo Seating24X7 Security Surveillancesolar Panel Inbuilt For Low Maintenance Life Timemultipurpose Play Court     Cricket, Badminton, Basketball,      Volleyballlandscape Gardenopen Big Campus Area   Party Space And Many More..Read More",3075.0,₹38.5 Lac 
Plot/Land For Sale In Bhatpore Surat,Plot Area,120 sqft,Congo,Freehold,Resale,2,Garden/Park,"120 Sq-Ft Residential Plot Is Available For Sale In Bhatpore, Surat For 42.0 Lac(S)Read More",35000.0,₹42 Lac 
Shop For Sale In Kosamba Surat,Carpet Area,425 sqft,Resale,Ready To Move,1 Out Of 2,Unknown,Unknown,"Commercial Shop Is Available For Sale In Kosamba, Surat For 20.0 Lac(S)Read More",4706.0,₹20 Lac 
Office Space For Sale In Udhna Surat,Carpet Area,396 sqft,Resale,Ready To Move,2 Out Of 10,3,Unknown,"Commercial Office Space Is Available For Rent. Carpet Area 396 Sq-Ft, Fully Furnished With Colour, Front Partition And Cabin Office, Main Road Touch, Front Location, Common Parking, Visiters Parking, Two Banks And Atm In Complex, Mazanine Floor Office, No Lift Required, Fully Commercial Complex, Fully Industrial And Gidc Area, Brts Bus Stop Opp Complex, 3 Km Udhna Railway Station, 2 Km St Bus Station, 6 Km Airport.Read More",5808.0,₹23 Lac 
Plot/Land For Sale In Narthan Surat,Plot Area,1055 sqft,Resale,21 X 50.2,Freehold,2,1,More Than 7 International School Running In This Area Green Area Just 7 Kms Dmart Jhangripura From This Society. Golden Opportunity To Invest In This Area.Read More,2275.0,₹24 Lac 
1 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,735 sqft,Resale,Ready To Move,12 Out Of 14,Unfurnished,Main Road,"A Spacious 1Bhk Road Facing Brand New Flat For Sale In A New Luxurious High Rise Apartment. The Building Has The Facilities Available Like Garden, Children Play Area, Well Designed Building Reception, 2 Automatic Auto Door Lifts Etcread More",3810.0,₹28 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1326 sqft,Resale,Ready To Move,9 Out Of 14,Unfurnished,East,2 Bhk  3 Bhk  Apartments At Palanpur. With All Amenities Best Location For Best Deal Callread More,3771.0,₹50 Lac 
Office Space For Sale In Vesu Surat,Super Area,510 sqft,New Property,Poss. By Dec '25,3 Out Of 12,"1 Covered,",1,"Vacanzza Atlas, The Dream Commercial Project, Is Located On A Premium Vesu Canal Road Opposite Gd Goenka School. This Is A Perfect Business Center, With Shops On Ground And Upper Floor, Amenities On 1St Floor, Offices From 3Rd To 12Th Floor, And A Roof Top Cafeteria. The Dream Place For Corporate And Professional Offices, And For Consultants.Read More",7000.0,₹35.7 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,1178 sqft,Resale,Ready To Move,10 Out Of 14,Unfurnished,East,"Near New Dmart. Decent For Leaving,  Regular Water Supply, The Perfect Home For Familynear New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmartread More",3099.0,₹36.5 Lac 
3 Bhk Apartment For Sale In Jahangir Pura Surat,Super Area,1900 sqft,Resale,Ready To Move,7 Out Of 14,Unfurnished,South -West,3 Bhk Levish Flat For Sell With All Aminities.Contact For More Details.Read More,2632.0,₹50 Lac 
